,,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.0949987434,1.266
1396636114.713,11.357,1.36972,1.36983,12.788,1.36972,1.36983,,1.1260015849,1.431
1396636115.222,12.619,1.36975,1.36986,13.48,1.36975,1.36986,,1.0682304462,0.861
1396636122.415,13.756,1.36976,1.36989,14.577,1.36976,1.36989,,1.0596830474,0.821
1396636122.467,12.041,1.36979,1.36992,61.406,1.36979,1.36992,,5.0997425463,49.365
1396636122.515,11.943,1.36979,1.36991,113.804,1.36979,1.36991,,9.5289290798,101.861
1396636123.657,11.684,1.3698,1.3699,12.485,1.3698,1.3699,,1.0685552893,0.801
1396636133.03,12.439,1.36979,1.36991,13.985,1.36979,1.36991,,1.1242865182,1.546
1396636133.113,11.725,1.36979,1.3699,28.437,1.36979,1.3699,,2.4253304904,16.712
1396636133.307,12.59,1.36979,1.36988,12.102,1.36979,1.36988,,0.9612390786,-0.488
1396636133.329,13.294,1.36978,1.36989,91.4,1.36978,1.36989,,6.8752820821,78.106
1396636135.113,13.303,1.36979,1.36988,12.86,1.36979,1.36988,,0.9666992408,-0.443
1396636135.522,18.946,1.36979,1.3699,14.881,1.36979,1.3699,,0.7854428375,-4.065
1396636136.311,11.62,1.36979,1.36991,12.833,1.36979,1.36991,,1.1043889845,1.213
1396636153.555,13.185,1.36979,1.3699,14.49,1.36979,1.3699,,1.0989761092,1.305
1396636153.623,17.691,1.36976,1.36987,44.49,1.36976,1.36987,,2.5148380532,26.799
1396636154.914,14.559,1.36976,1.36988,14.776,1.36976,1.36988,,1.0149048698,0.217
1396636155.223,16.409,1.36976,1.36986,17.264,1.36976,1.36986,,1.0521055518,0.855
1396636158.093,20.82,1.36974,1.36986,21.813,1.36974,1.36986,,1.0476945245,0.993
1396636158.115,37.902,1.36975,1.36986,93.791,1.36975,1.36986,,2.474565986,55.889
1396636158.257,12.423,1.36973,1.36986,53.446,1.36973,1.36986,,4.3021814377,41.023
1396636158.33,11.575,1.36974,1.36986,78.073,1.36974,1.36986,,6.7449676026,66.498
1396636158.526,12.651,1.36975,1.36986,13.399,1.36975,1.36986,,1.0591257608,0.748
1396636159.446,13.301,1.36975,1.36985,13.67,1.36975,1.36985,,1.027742275,0.369
1396636159.515,12.533,1.36977,1.36988,47.057,1.36977,1.36988,,3.75464773,34.524
