Compact Stream Performance Test,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396636048.952,20.318,1.36971,1.36983,,1396636032,21.381,1.36973,1.36984
1396636049.113,11.224,1.36972,1.36982,,1396636032.211,13.245,1.36972,1.36982
1396636049.194,13.394,1.36971,1.36983,,1396636045.337,13.074,1.36971,1.36982
1396636049.926,11.38,1.36972,1.36983,,1396636045.452,16.46,1.36971,1.36981
1396636050.041,13.163,1.36972,1.36982,,1396636045.721,12.748,1.36972,1.36981
1396636052.803,12.424,1.36972,1.36981,,1396636045.722,111.72,1.36971,1.36982
1396636053.414,16.847,1.36972,1.36982,,1396636048.725,13.937,1.36973,1.36985
1396636061.948,11.973,1.36971,1.36984,,1396636048.952,19.011,1.36971,1.36983
1396636062.013,11.52,1.36972,1.36984,,1396636049.113,12.302,1.36972,1.36982
1396636062.312,11.633,1.36973,1.36982,,1396636049.194,31.581,1.36971,1.36983
1396636070.978,12.089,1.36971,1.36982,,1396636049.926,13.044,1.36972,1.36983
1396636079.737,11.894,1.36971,1.36982,,1396636050.041,14.319,1.36972,1.36982
1396636089.411,13.241,1.36973,1.36982,,1396636052.803,12.412,1.36972,1.36981
1396636097.287,14.367,1.36973,1.36981,,1396636053.414,17.934,1.36972,1.36982
1396636097.993,11.977,1.36972,1.36982,,1396636061.948,12.742,1.36971,1.36984
1396636097.999,26.052,1.36971,1.36983,,1396636062.013,50.18,1.36972,1.36984
1396636098.111,12.219,1.36971,1.36982,,1396636062.312,12.178,1.36973,1.36982
1396636102.779,11.778,1.3697,1.36982,,1396636070.978,13.705,1.36971,1.36982
1396636114.713,11.357,1.36972,1.36983,,1396636079.737,12.7,1.36971,1.36982
1396636115.222,12.619,1.36975,1.36986,,1396636089.411,14.085,1.36973,1.36982
1396636122.415,13.756,1.36976,1.36989,,1396636097.287,15.304,1.36973,1.36981
1396636122.467,12.041,1.36979,1.36992,,1396636097.993,12.535,1.36972,1.36982
1396636122.515,11.943,1.36979,1.36991,,1396636097.999,107.659,1.36971,1.36983
1396636123.657,11.684,1.3698,1.3699,,1396636098.111,96.386,1.36971,1.36982
1396636133.03,12.439,1.36979,1.36991,,1396636102.779,13.285,1.3697,1.36982
1396636133.113,11.725,1.36979,1.3699,,1396636114.713,12.788,1.36972,1.36983
1396636133.307,12.59,1.36979,1.36988,,1396636115.222,13.48,1.36975,1.36986
1396636133.329,13.294,1.36978,1.36989,,1396636122.415,14.577,1.36976,1.36989
1396636135.113,13.303,1.36979,1.36988,,1396636122.467,61.406,1.36979,1.36992
1396636135.522,18.946,1.36979,1.3699,,1396636122.515,113.804,1.36979,1.36991
1396636136.311,11.62,1.36979,1.36991,,1396636123.657,12.485,1.3698,1.3699
1396636153.555,13.185,1.36979,1.3699,,1396636133.03,13.985,1.36979,1.36991
1396636153.623,17.691,1.36976,1.36987,,1396636133.113,28.437,1.36979,1.3699
1396636154.914,14.559,1.36976,1.36988,,1396636133.307,12.102,1.36979,1.36988
1396636155.223,16.409,1.36976,1.36986,,1396636133.329,91.4,1.36978,1.36989
1396636158.093,20.82,1.36974,1.36986,,1396636135.113,12.86,1.36979,1.36988
1396636158.115,37.902,1.36975,1.36986,,1396636135.522,14.881,1.36979,1.3699
1396636158.257,12.423,1.36973,1.36986,,1396636136.311,12.833,1.36979,1.36991
1396636158.33,11.575,1.36974,1.36986,,1396636153.555,14.49,1.36979,1.3699
1396636158.526,12.651,1.36975,1.36986,,1396636153.623,44.49,1.36976,1.36987
1396636159.446,13.301,1.36975,1.36985,,1396636154.914,14.776,1.36976,1.36988
1396636159.515,12.533,1.36977,1.36988,,1396636155.223,17.264,1.36976,1.36986
1396636159.518,31.747,1.36976,1.36989,,1396636158.093,21.813,1.36974,1.36986
1396636159.615,12.048,1.36976,1.36988,,1396636158.115,93.791,1.36975,1.36986
1396636159.805,12.54,1.36976,1.36989,,1396636158.257,53.446,1.36973,1.36986
1396636160.119,11.906,1.36976,1.36988,,1396636158.33,78.073,1.36974,1.36986
1396636162.012,20.233,1.36979,1.36988,,1396636158.526,13.399,1.36975,1.36986
1396636163.421,15.538,1.36979,1.36989,,1396636159.446,13.67,1.36975,1.36985
1396636165.115,12.204,1.36978,1.36989,,1396636159.515,47.057,1.36977,1.36988
1396636165.115,30.362,1.36977,1.3699,,1396636159.518,143.281,1.36976,1.36989
1396636165.214,11.866,1.36976,1.36988,,1396636159.615,48.657,1.36976,1.36988
1396636165.412,12.985,1.36979,1.3699,,1396636159.805,12.665,1.36976,1.36989
1396636175.381,13.838,1.36979,1.3699,,1396636160.119,12.423,1.36976,1.36988
1396636194.007,12.696,1.36979,1.36991,,1396636162.012,19.128,1.36979,1.36988
1396636210.056,11.792,1.36979,1.36991,,1396636163.421,16.962,1.36979,1.36989
1396636212.189,11.85,1.36982,1.36992,,1396636165.115,13.725,1.36978,1.36989
